date,portfolio_value,daily_return,realized_vol,expected_vol,drawdown,regime_score,turnover
2023-05-15,201730.60795222587,0.0008123055510973476,0.1437441479851722,0.09804758976171188,-0.10709476457087928,1.0,0.0
2023-05-16,201715.48048561244,-7.498845498454809e-05,0.14047364255414832,0.0978546533711415,-0.10716172215493171,1.0,0.0
2023-05-17,203806.6970996774,0.010367159768950529,0.14174914702356775,0.09956667403270579,-0.09790552508067725,1.0,0.0
2023-05-18,205033.14023172483,0.006017678268185556,0.14092274377582453,0.09991869207588192,-0.0924770107631049,1.0,0.0
2023-05-19,204468.01254888103,-0.002756274825645777,0.14199722017931257,0.10026918624884182,-0.09497839353203333,1.0,0.0
2023-05-22,203534.16111967555,-0.004567225051802293,0.14377987798672145,0.10099634652108036,-0.09911183088551619,1.0,0.0
2023-05-23,201733.04516830065,-0.008849207137841875,0.1495687925975748,0.10321132570741709,-0.10708397690204143,1.0,0.0
2023-05-24,201727.5085839777,-2.7445103593870535e-05,0.14640475716152668,0.10302260571903392,-0.10710848307479598,1.0,0.0
2023-05-25,205994.04943190987,0.021150020033861905,0.1501025384322382,0.11037618970906925,-0.08822380960376262,1.0,0.0
2023-05-26,206899.4157902749,0.004395109280398435,0.10391977390993071,0.10772020264927729,-0.08421645360770576,1.0,0.0
2023-05-30,208603.43519847197,0.008235979795730097,0.10612306567343101,0.10858716663268408,-0.07667407882235681,1.0,0.0
2023-05-31,207452.14017831953,-0.005519060695510891,0.10425519352696613,0.10929772493860093,-0.08176997062307471,1.0,0.0
2023-06-01,208854.2688361851,0.006758805460673312,0.10586287026966525,0.1098108543320875,-0.07556383248636783,1.0,1.1336733467319897
2023-06-02,208510.7249604562,-0.0016448975529361753,0.1039874684391854,0.10983543581576814,-0.07708443527615667,1.0,0.0
2023-06-05,208169.74352323666,-0.0016353184580035762,0.10117102969776895,0.10980085956772317,-0.07859369613432836,1.0,0.0
2023-06-06,207521.08418186405,-0.003116011627790627,0.10179002282199472,0.11016801951477699,-0.08146480889109342,1.0,0.0
2023-06-07,205031.92429029197,-0.011994732493738725,0.11157150936372706,0.11374018226143144,-0.09248239279452988,1.0,0.0
2023-06-08,205634.33620689245,0.002938137164179233,0.11178220652058786,0.1137630643006176,-0.0898159815856525,1.0,0.0
2023-06-09,205863.5971500488,0.0011148962152200959,0.11178257514155432,0.11373222886580868,-0.0888012208683686,1.0,0.0
2023-06-12,206138.21141117427,0.0013339622202623858,0.11156386231192893,0.11368614399034521,-0.08758571612185781,1.0,0.0
2023-06-13,205400.75713505008,-0.0035774748945173185,0.11102976559110378,0.11402996045617594,-0.09084985531583091,1.0,0.0
2023-06-14,206269.45157831686,0.004229266023082934,0.11158875860935336,0.11416260171825002,-0.0870048174990372,1.0,0.0
2023-06-15,206654.41011496462,0.0018662896211831814,0.11153963582337183,0.11412787336263654,-0.08530090406574543,1.0,0.0
2023-06-16,204355.13164871972,-0.011126200815002152,0.11393020856478427,0.11678236872721341,-0.09547802989241082,1.0,0.0
2023-06-20,204105.50294558174,-0.0012215435997324775,0.11207227566540573,0.11674509026791739,-0.09658294291581312,1.0,0.0
2023-06-21,202046.57667684773,-0.010087558831194054,0.11672960527358428,0.1190263188731846,-0.10569621562825407,1.0,0.0
2023-06-22,204911.64443761364,0.014180234121700996,0.1258199251159149,0.12216701641564177,-0.09301477858993956,1.0,0.0
2023-06-23,206406.0243125811,0.007292801143970351,0.123465388556874,0.122531491403015,-0.08640031572967606,1.0,0.0
2023-06-26,204478.19634193738,-0.009339979184542768,0.12841942697359746,0.12454961067356608,-0.09493331776376572,1.0,0.0
2023-06-27,208172.95751060525,0.018069218306725032,0.12282637119427209,0.12829087159338715,-0.07857947030029577,0.8666666666666667,0.0
2023-06-28,210852.2262872841,0.012870397811119982,0.1292022263845749,0.1304451183330779,-0.06672042153172772,0.7333333333333334,0.0
2023-06-29,210650.77723109792,-0.0009554039799973824,0.12668105683890565,0.13035612501286353,-0.06761208055544662,0.6,0.0
2023-06-30,213042.48805714643,0.011353914082285366,0.1298675625697279,0.13178616896102793,-0.0570258282267124,0.6,0.0
2023-07-03,210829.58162818753,-0.010387160087828584,0.13408675987535287,0.13411507708158088,-0.06682065190760915,0.6,1.1546501565773999
2023-07-04,210464.28906294363,-0.0017326437894664704,0.13410380425694374,0.13424456363936998,-0.06843751930953984,0.6,0.0
2023-07-05,211073.97884754834,0.0028968799757871366,0.13412128459146963,0.1342179863430038,-0.0657388946130331,0.6,0.0
2023-07-06,210994.16644272092,-0.000378125268037266,0.13350554501844403,0.13420220334779812,-0.06609216234392433,0.7333333333333334,0.0
2023-07-07,211733.3188342018,0.0035031887560812436,0.12569825053525804,0.13372570911483658,-0.06282050690783134,0.8666666666666667,0.0
2023-07-10,211240.67306520385,-0.0023267276577463303,0.12626638322265651,0.13376866363021717,-0.06500106835468156,1.0,0.0
2023-07-11,211396.95654142133,0.0007398361023458477,0.12627981886276207,0.13196975331794142,-0.06430932238939555,1.0,0.0
2023-07-12,213631.89682035777,0.010572244347796467,0.13011735574823208,0.1331708130920996,-0.05441697191174089,1.0,0.0
2023-07-13,215605.75380315917,0.009239523742380129,0.1310484868758055,0.13130662334182253,-0.04568023507332771,1.0,0.0
2023-07-14,213817.82699696143,-0.0082925746398681,0.1356450914545209,0.13210350653510353,-0.05359400295428357,1.0,0.0
2023-07-17,214971.25237961602,0.005394430384286775,0.13620481637861914,0.13133460776951247,-0.048488681687948905,1.0,0.0
2023-07-18,214885.8750633672,-0.00039715690030062145,0.12848595750475347,0.1305534549543992,-0.0488665809737307,1.0,0.0
2023-07-19,214820.26658793262,-0.00030531776653641707,0.12821067740775335,0.12998125804199925,-0.04915697890490592,1.0,0.0
2023-07-20,211811.4939081667,-0.014006000120730389,0.13339632213238578,0.13381272886084006,-0.06247448637315942,1.0,0.0
2023-07-21,210078.1822112904,-0.00818327497197957,0.13086641492536139,0.1349072695704389,-0.07014651544441425,1.0,0.0
2023-07-24,209871.8583712409,-0.0009821288335500888,0.12923858596502327,0.13487919857071884,-0.07105975136257334,1.0,0.0
2023-07-25,211754.64270534104,0.008971113843999401,0.1267549361993917,0.1345571744084062,-0.06272612263777377,1.0,0.0
2023-07-26,211087.76233884174,-0.0031493069430703624,0.1134700324455212,0.13011756087508702,-0.06567788576730907,1.0,0.0
2023-07-27,211540.32209132853,0.002143941209440392,0.1051388641941304,0.11331877380931558,-0.06367475408371417,1.0,0.0
2023-07-28,213153.61450041016,0.007626406129726426,0.10799356541626079,0.11414244906874846,-0.05653395748884055,1.0,0.0
2023-07-31,212949.0203716683,-0.0009598435814536233,0.10106035646073595,0.1121705058478773,-0.057439537314064315,1.0,0.0
